date,lesson,practice_type
2026-03-14,1,LISTEN
2026-03-14,2,LISTEN
2026-03-14,1,LISTEN
2026-03-14,3,LISTEN
2026-03-15,2,LISTEN
2026-03-15,4,LISTEN
2026-03-15,3,LISTEN
2026-03-16,1,READ
2026-03-16,2,READ
2026-03-16,5,LISTEN
2026-03-16,3,READ
2026-03-16,6,LISTEN
2026-03-16,4,READ
2026-03-18,4,LISTEN
2026-03-18,5,LISTEN
2026-03-18,8,LISTEN
2026-03-18,6,LISTEN
2026-03-18,9,LISTEN
2026-03-19,10,LISTEN
2026-03-19,2,READ
2026-03-19,11,LISTEN
2026-03-20,12,LISTEN
2026-03-20,1,SHADOW
2026-03-20,13,LISTEN
2026-03-20,15,LISTEN
2026-03-21,16,LISTEN
2026-03-21,17,LISTEN
2026-03-21,18,LISTEN
2026-03-22,5,READ
2026-03-22,6,READ
2026-03-22,8,LISTEN
2026-03-22,7,READ
2026-03-23,8,READ
2026-03-23,19,LISTEN
2026-03-23,9,LISTEN
