date,lesson,practice_type
2026-03-14,1,LISTEN
2026-03-14,2,LISTEN
2026-03-15,1,LISTEN
2026-03-15,3,LISTEN
2026-03-15,2,LISTEN
2026-03-16,1,READ
2026-03-16,4,LISTEN
2026-03-16,2,READ
2026-03-16,5,LISTEN
2026-03-17,3,READ
2026-03-17,6,LISTEN
2026-03-17,4,READ
2026-03-19,1,LISTEN
2026-03-19,3,LISTEN
2026-03-19,8,LISTEN
2026-03-19,9,LISTEN
2026-03-20,4,LISTEN
2026-03-20,10,LISTEN
2026-03-20,11,LISTEN
2026-03-21,12,LISTEN
2026-03-21,1,SHADOW
2026-03-21,13,LISTEN
2026-03-22,5,LISTEN
2026-03-22,6,LISTEN
2026-03-22,15,LISTEN
2026-03-23,8,LISTEN
2026-03-23,9,LISTEN
2026-03-23,5,READ
2026-03-23,16,LISTEN
2026-03-24,10,LISTEN
2026-03-24,17,LISTEN
2026-03-24,11,LISTEN
